# Expected energy spectrum of the background sources
# candidate interactions in the detectors of Experimental Hall 2 (EH2)
#
# The three data taking periods are provided separately.
#
# Emin:        Lower bin edge in prompt reconstructed energy [MeV]
# Emax:        Upper bin edge in prompt reconstructed energy [MeV]
# Ec:          Center of bin in prompt reconstructed energy [MeV]
# Nbkg:        Estimated background in the given energy bin
# Nacc:        Estimated number of accidental events in the given energy bin
# Nalphan:     Estimated number of Alpha-N events in the given energy bin
# Namc:        Estimated number of AmC events in the given energy bin
# Nlihe:       Estimated number of 8Li/9He events in the given energy bin
# Nfastn:      Estimated number of fast neutron events in the given energy bin

# Estimated number = Background rate in the given bin * DAQ time * muon veto efficiency * multiplicity cut efficiency

# Six-AD sperio:
# Emin	Emax	Ec	Nbkg	Nacc	Nalphan	Namc	Nlihe	Nfastn
0.70	1.30	1.00	650.08	616.15	1.07	24.93	3.89	4.05	
1.30	1.55	1.43	191.45	179.84	0.66	5.97	3.26	1.72	
1.55	1.80	1.68	137.95	126.95	0.58	4.36	4.31	1.74	
1.80	2.05	1.93	80.63	69.93	0.47	3.19	5.29	1.76	
2.05	2.30	2.17	48.47	37.71	0.35	2.33	6.31	1.78	
2.30	2.55	2.42	49.83	39.01	0.25	1.70	7.08	1.79	
2.55	2.80	2.67	70.47	59.19	0.17	1.24	8.06	1.81	
2.80	3.05	2.92	56.62	45.04	0.12	0.91	8.72	1.83	
3.05	3.30	3.17	21.26	9.29	0.09	0.66	9.38	1.84	
3.30	3.55	3.42	13.95	2.12	0.06	0.48	9.43	1.86	
3.55	3.80	3.67	12.47	0.75	0.04	0.35	9.46	1.87	
3.80	4.05	3.92	12.13	0.42	0.03	0.26	9.53	1.88	
4.05	4.30	4.17	11.72	0.32	0.03	0.19	9.28	1.90	
4.30	4.55	4.42	11.69	0.23	0.04	0.14	9.38	1.91	
4.55	4.80	4.67	11.44	0.13	0.06	0.10	9.22	1.92	
4.80	5.05	4.92	11.41	0.06	0.10	0.07	9.24	1.94	
5.05	5.30	5.17	11.29	0.03	0.12	0.05	9.13	1.95	
5.30	5.55	5.42	11.21	0.03	0.15	0.04	9.04	1.96	
5.55	5.80	5.67	11.18	0.02	0.22	0.03	8.96	1.97	
5.80	6.05	5.92	11.06	0.02	0.34	0.02	8.72	1.98	
6.05	6.30	6.17	10.94	0.02	0.49	0.01	8.44	1.99	
6.30	6.55	6.42	10.70	0.02	0.57	0.01	8.10	2.00	
6.55	6.80	6.67	10.47	0.02	0.51	0.01	7.93	2.01	
6.80	7.05	6.92	9.83	0.02	0.35	0.00	7.44	2.02	
7.05	7.30	7.17	9.43	0.02	0.26	0.00	7.12	2.03	
7.30	12.00	9.65	92.60	0.30	0.41	0.01	52.17	39.71	

# Eight-ADs period:
# Emin	Emax	Ec	Nbkg	Nacc	Nalphan	Namc	Nlihe	Nfastn
0.70	1.30	1.00	7150.09	6860.27	18.82	156.27	56.21	58.52	
1.30	1.55	1.43	2134.92	2014.25	11.16	37.43	47.18	24.90	
