x,Curve1
"0,9958","1,007265"
"1,4282","1,001674"
"1,6735","0,96303"
"1,9257","0,959429"
"2,1765","0,953389"
"2,4238","0,94735"
"2,6718","0,937691"
"2,9239","0,937282"
"3,1729","0,947708"
"3,4252","0,937646"
"3,67","0,942492"
"3,9198","0,949323"
"4,1704","0,950901"
"4,4216","0,9565"
"4,6724","0,95212"
"4,9219","0,967775"
"5,1726","0,964953"
"5,4217","0,968164"
"5,6777","0,981029"
"5,9252","0,969358"
"6,1767","0,938005"
"6,4251","0,965751"
"6,6709","0,96132"
"6,9185","0,971683"
"7,172","0,945169"
"9,6385","0,948375"
