812.07	3.29	66.64	1.6	1.23
238.39	2.03	15.96	1.34	0.52
171.37	1.79	11.66	1.77	0.53
96.68	1.43	8.51	2.17	0.53
50.82	1.07	6.22	2.59	0.54
50.45	0.77	4.54	2.91	0.54
72.56	0.53	3.32	3.31	0.55
56.12	0.37	2.42	3.58	0.55
12.16	0.27	1.77	3.85	0.56
2.78	0.19	1.29	3.87	0.56
0.98	0.13	0.94	3.88	0.56
0.55	0.11	0.69	3.91	0.57
0.41	0.1	0.5	3.81	0.57
0.29	0.11	0.37	3.85	0.58
0.16	0.19	0.27	3.79	0.58
0.06	0.31	0.2	3.8	0.58
0.02	0.36	0.14	3.75	0.59
0.01	0.46	0.09	3.71	0.59
0.01	0.69	0.07	3.68	0.59
0.01	1.06	0.05	3.58	0.6
0.01	1.52	0.04	3.46	0.6
0.01	1.76	0.02	3.33	0.6
0.01	1.58	0.02	3.26	0.61
0.01	1.08	0.01	3.06	0.61
0.01	0.81	0.01	2.92	0.61
0.08	1.26	0.03	21.43	11.95
812.07	3.29	66.64	1.6	1.23
238.39	2.03	15.96	1.34	0.52
171.37	1.79	11.66	1.77	0.53
96.68	1.43	8.51	2.17	0.53
50.82	1.07	6.22	2.59	0.54
50.45	0.77	4.54	2.91	0.54
72.56	0.53	3.32	3.31	0.55
56.12	0.37	2.42	3.58	0.55
12.16	0.27	1.77	3.85	0.56
2.78	0.19	1.29	3.87	0.56
0.98	0.13	0.94	3.88	0.56
0.55	0.11	0.69	3.91	0.57
0.41	0.1	0.5	3.81	0.57
0.29	0.11	0.37	3.85	0.58
0.16	0.19	0.27	3.79	0.58
0.06	0.31	0.2	3.8	0.58
0.02	0.36	0.14	3.75	0.59
0.01	0.46	0.09	3.71	0.59
0.01	0.69	0.07	3.68	0.59
0.01	1.06	0.05	3.58	0.6
0.01	1.52	0.04	3.46	0.6
0.01	1.76	0.02	3.33	0.6
0.01	1.58	0.02	3.26	0.61
0.01	1.08	0.01	3.06	0.61
0.01	0.81	0.01	2.92	0.61
0.08	1.26	0.03	21.43	11.95
2229.71	27.18	96.41	15.39	11.87
664.17	16.76	23.09	12.92	5.04
477.31	14.82	16.86	17.08	5.09
260.85	11.85	12.32	20.94	5.14
138.89	8.88	8.99	24.98	5.19
141.02	6.37	6.57	28.05	5.24
212.16	4.41	4.8	31.92	5.28
172.17	3.07	3.5	34.55	5.32
39.68	2.2	2.56	37.15	5.37
8.37	1.57	1.87	37.37	5.41
2.56	1.09	1.36	37.46	5.45
1.07	0.88	1	37.76	5.48
0.68	0.82	0.73	36.74	5.52
0.45	0.9	0.53	37.15	5.56
0.23	1.6	0.39	36.52	5.59
0.08	2.52	0.28	36.61	5.62
0.03	3.01	0.21	36.17	5.66
0.01	3.77	0.15	35.82	5.69
0.01	5.7	0.12	35.49	5.72
0.01	8.8	0.08	34.52	5.75
0.01	12.53	0.06	33.41	5.78
0.01	14.58	0.04	32.09	5.81
0.01	13.02	0.03	31.42	5.84
0.01	8.94	0.02	29.47	5.87
0.01	6.69	0.01	28.18	5.9
0.14	10.45	0.04	206.65	115.22
2229.71	27.18	96.41	15.39	11.87
664.17	16.76	23.09	12.92	5.04
477.31	14.82	16.86	17.08	5.09
260.85	11.85	12.32	20.94	5.14
138.89	8.88	8.99	24.98	5.19
141.02	6.37	6.57	28.05	5.24
212.16	4.41	4.8	31.92	5.28
172.17	3.07	3.5	34.55	5.32
39.68	2.2	2.56	37.15	5.37
8.37	1.57	1.87	37.37	5.41
2.56	1.09	1.36	37.46	5.45
1.07	0.88	1	37.76	5.48
0.68	0.82	0.73	36.74	5.52
0.45	0.9	0.53	37.15	5.56
0.23	1.6	0.39	36.52	5.59
0.08	2.52	0.28	36.61	5.62
0.03	3.01	0.21	36.17	5.66
0.01	3.77	0.15	35.82	5.69
0.01	5.7	0.12	35.49	5.72
0.01	8.8	0.08	34.52	5.75
0.01	12.53	0.06	33.41	5.78
0.01	14.58	0.04	32.09	5.81
0.01	13.02	0.03	31.42	5.84
0.01	8.94	0.02	29.47	5.87
0.01	6.69	0.01	28.18	5.9
0.14	10.45	0.04	206.65	115.22
262.36	3.42	9.19	2.28	1.76
79.03	2.11	2.2	1.92	0.75
56.87	1.86	1.61	2.53	0.76
31.11	1.49	1.17	3.11	0.76
16.7	1.12	0.86	3.7	0.77
17.03	0.8	0.63	4.16	0.78
25.58	0.56	0.46	4.73	0.78
20.5	0.39	0.33	5.12	0.79
4.75	0.28	0.24	5.51	0.8
1	0.2	0.18	5.54	0.8
0.3	0.14	0.13	5.55	0.81
0.11	0.11	0.1	5.6	0.81
0.06	0.1	0.07	5.45	0.82
0.04	0.11	0.05	5.51	0.82
0.02	0.2	0.04	5.41	0.83
0.01	0.32	0.03	5.43	0.83
0	0.38	0.02	5.36	0.84
0	0.47	0.01	5.31	0.84
0	0.72	0.01	5.26	0.85
0	1.11	0	5.12	0.85
0	1.58	0	4.95	0.86
0	1.83	0	4.76	0.86
0	1.64	0	4.66	0.87
0	1.12	0	4.37	0.87
0	0.84	0	4.18	0.87
0.02	1.31	0	30.64	17.08
262.36	3.42	9.19	2.28	1.76
79.03	2.11	2.2	1.92	0.75
56.87	1.86	1.61	2.53	0.76
31.11	1.49	1.17	3.11	0.76
16.7	1.12	0.86	3.7	0.77
17.03	0.8	0.63	4.16	0.78
25.58	0.56	0.46	4.73	0.78
20.5	0.39	0.33	5.12	0.79
4.75	0.28	0.24	5.51	0.8
