x,Curve1
"0,9987","0,98933"
"1,4283","0,985726"
"1,6751","0,949393"
"1,9244","0,946974"
"2,1738","0,941806"
"2,4217","0,936487"
"2,6716","0,926831"
"2,9225","0,926428"
"3,1727","0,937297"
"3,422","0,926809"
"3,6722","0,931248"
"3,9202","0,9373"
"4,1675","0,938537"
"4,4234","0,943379"
"4,6713","0,938539"
"4,9231","0,953467"
"5,1746","0,949408"
"5,424","0,950645"
"5,6793","0,961967"
"5,927","0,947823"
"6,1774","0,914718"
"6,4236","0,938168"
"6,675","0,928436"
"6,9244","0,926635"
"7,1748","0,900148"
"9,644","0,90626"
