s22t13 dmee
0.100238 0.002166 
0.100414 0.002166 
0.10059 0.002166 
0.100766 0.002166 
0.100942 0.002166 
0.101118 0.002166 
0.101295 0.002166 
0.101471 0.002166 
0.101648 0.002166 
0.101825 0.002166 
0.102002 0.002166 
0.102179 0.002166 
0.102357 0.002166 
0.102534 0.002166 
0.102711 0.002166 
0.102889 0.002166 
0.0981395 0.002169 
0.0983136 0.002169 
0.0984879 0.002169 
0.0986623 0.002169 
0.0988369 0.002169 
0.0990115 0.002169 
0.0991864 0.002169 
0.0993613 0.002169 
0.0995364 0.002169 
0.0997116 0.002169 
0.099887 0.002169 
0.100063 0.002169 
0.100238 0.002169 
0.100414 0.002169 
0.10059 0.002169 
0.100766 0.002169 
0.100942 0.002169 
0.101118 0.002169 
0.101295 0.002169 
0.101471 0.002169 
0.101648 0.002169 
0.101825 0.002169 
0.102002 0.002169 
0.102179 0.002169 
0.102357 0.002169 
0.102534 0.002169 
0.102711 0.002169 
0.102889 0.002169 
0.103067 0.002169 
0.103245 0.002169 
0.103423 0.002169 
0.103601 0.002169 
0.10378 0.002169 
0.103958 0.002169 
0.104137 0.002169 
0.104316 0.002169 
0.104494 0.002169 
0.104674 0.002169 
0.104853 0.002169 
0.0967514 0.002172 
0.0969244 0.002172 
0.0970976 0.002172 
0.0972709 0.002172 
0.0974444 0.002172 
0.0976179 0.002172 
0.0977917 0.002172 
0.0979655 0.002172 
0.0981395 0.002172 
0.0983136 0.002172 
0.0984879 0.002172 
0.0986623 0.002172 
0.0988369 0.002172 
0.0990115 0.002172 
0.0991864 0.002172 
0.0993613 0.002172 
0.0995364 0.002172 
0.0997116 0.002172 
0.099887 0.002172 
0.100063 0.002172 
0.100238 0.002172 
0.100414 0.002172 
0.10059 0.002172 
0.100766 0.002172 
0.100942 0.002172 
0.101118 0.002172 
0.101295 0.002172 
0.101471 0.002172 
0.101648 0.002172 
0.101825 0.002172 
0.102002 0.002172 
0.102179 0.002172 
0.102357 0.002172 
0.102534 0.002172 
0.102711 0.002172 
0.102889 0.002172 
0.103067 0.002172 
0.103245 0.002172 
0.103423 0.002172 
0.103601 0.002172 
0.10378 0.002172 
0.103958 0.002172 
0.104137 0.002172 
0.104316 0.002172 
0.104494 0.002172 
0.104674 0.002172 
0.104853 0.002172 
0.105032 0.002172 
0.105211 0.002172 
0.105391 0.002172 
